                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.115,                 1.4756,                0.90139,                0.49282,                0.75687,                0.53659,                0.41113,                0.94289,                 1.4248,                 0.8689,              0.0013204,              0.0013204,              0.0013204
                     66,                 1.0622,                 1.4903,                0.88949,                0.49282,                0.75687,                0.53659,                0.41113,                0.94289,                 1.4248,                 0.8689,              0.0013149,              0.0013149,              0.0013149
                     67,                 1.0034,                 1.3864,                0.88919,                0.49956,                0.75415,                0.53734,                0.41266,                0.92747,                 1.3905,                0.86804,              0.0013094,              0.0013094,              0.0013094
                     68,                 1.0468,                 1.3652,                0.89122,                0.49956,                0.75415,                0.53734,                0.41266,                0.92747,                 1.3905,                0.86804,              0.0013039,              0.0013039,              0.0013039
                     69,                 1.0699,                 1.3432,                0.90247,                0.49956,                0.75415,                0.53734,                0.41266,                0.92747,                 1.3905,                0.86804,              0.0012984,              0.0012984,              0.0012984
                     70,                 1.0768,                  1.328,                0.90086,                0.49956,                0.75415,                0.53734,                0.41266,                0.92747,                 1.3905,                0.86804,              0.0012929,              0.0012929,              0.0012929
                     71,                 1.0931,                 1.3694,                0.88523,                0.51156,                0.75099,                0.53783,                0.40294,                 0.9433,                 1.3893,                0.87129,              0.0012874,              0.0012874,              0.0012874
                     72,                 1.0061,                 1.3019,                0.89823,                0.51156,                0.75099,                0.53783,                0.40294,                 0.9433,                 1.3893,                0.87129,              0.0012819,              0.0012819,              0.0012819
                     73,                 1.0622,                 1.3572,                0.88568,                0.51156,                0.75099,                0.53783,                0.40294,                 0.9433,                 1.3893,                0.87129,              0.0012764,              0.0012764,              0.0012764
                     74,                 1.0944,                 1.2875,                0.91397,                0.50638,                0.75551,                0.53739,                0.37967,                 1.0619,                 1.3628,                0.88403,              0.0012709,              0.0012709,              0.0012709
                     75,                 1.0077,                 1.3317,                 0.8781,                0.50638,                0.75551,                0.53739,                0.37967,                 1.0619,                 1.3628,                0.88403,              0.0012654,              0.0012654,              0.0012654
                     76,                 1.1071,                 1.3237,                 0.9209,                0.50638,                0.75551,                0.53739,                0.37967,                 1.0619,                 1.3628,                0.88403,              0.0012599,              0.0012599,              0.0012599
                     77,                 1.0047,                 1.1945,                0.90257,                0.50029,                0.75068,                0.54021,                0.38602,                 1.0753,                  1.318,                0.88811,              0.0012544,              0.0012544,              0.0012544
                     78,                  1.014,                 1.2088,                0.89483,                0.50029,                0.75068,                0.54021,                0.38602,                 1.0753,                  1.318,                0.88811,              0.0012489,              0.0012489,              0.0012489
                     79,                 1.0679,                 1.3063,                0.88952,                0.50029,                0.75068,                0.54021,                0.38602,                 1.0753,                  1.318,                0.88811,              0.0012434,              0.0012434,              0.0012434
                     80,                 1.0778,                 1.2896,                0.92207,                0.51373,                 0.7752,                0.55844,                0.41435,                0.96407,                 1.2685,                0.87484,              0.0012379,              0.0012379,              0.0012379
                     81,                 1.0397,                  1.251,                0.91308,                0.51373,                 0.7752,                0.55844,                0.41435,                0.96407,                 1.2685,                0.87484,              0.0012324,              0.0012324,              0.0012324
                     82,                 1.1202,                 1.2037,                0.93111,                0.51373,                 0.7752,                0.55844,                0.41435,                0.96407,                 1.2685,                0.87484,              0.0012269,              0.0012269,              0.0012269
                     83,                0.97376,                 1.2561,                0.88198,                0.50881,                0.76402,                 0.5652,                0.42923,                0.89735,                 1.2391,                0.86214,              0.0012214,              0.0012214,              0.0012214
                     84,                   1.07,                 1.2595,                0.89148,                0.50881,                0.76402,                 0.5652,                0.42923,                0.89735,                 1.2391,                0.86214,              0.0012159,              0.0012159,              0.0012159
